year,selling_price,km_driven,mileage,engine,max_power,torque,max_torque_rpm,year2,m/m,name_BMW,name_Chevrolet,name_Ford,name_Honda,name_Hyundai,name_Mahindra,name_Maruti,name_Nissan,name_Rare,name_Renault,name_Skoda,name_Tata,name_Toyota,name_Volkswagen,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,seats_4,seats_5,seats_7,seats_8,seats_Rare
2009,12.301382825334498,120000,18.9,1061,67.0,84.0,3500.0,4036081,12.663,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2018,12.449014902564246,25000,16.8,796,34.2,59.0,2500.0,4072324,5.7456000000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
2017,13.415032991367148,70000,24.3,1248,88.5,200.0,1750.0,4068289,21.5055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2003,11.156250521031495,50000,19.369999999999997,1248,81.86,160.0,3000.0,4012009,15.856281999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2012,11.918390573078392,35000,14.0,796,35.0,6.1,3000.0,4048144,4.8999999999999995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2017,13.38472764187182,16200,24.3,1248,88.5,200.0,1750.0,4068289,21.5055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2019,12.706847933442663,10000,33.44,796,40.3,60.0,3500.0,4076361,13.476319999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2019,12.810388612383504,15000,23.95,998,67.1,90.0,3500.0,4076361,16.070449999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2019,13.954402556830892,5000,17.0,1591,121.3,151.0,4850.0,4076361,20.621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,11.918390573078392,42000,20.63,1198,67.0,104.0,4000.0,4064256,13.822099999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2011,12.959844447906553,60000,13.93,2179,138.03,320.0,2700.0,4044121,19.227579,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2012,11.918390573078392,76000,16.1,796,37.0,59.0,2500.0,4048144,5.957000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
2019,14.557447902693651,5000,16.0,1368,160.77,250.0,2500.0,4076361,25.723200000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
2018,13.737549016494562,28900,17.8,1497,117.3,145.0,4600.0,4072324,20.8794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,12.959844447906553,86300,16.8,1497,116.3,146.0,4800.0,4052169,19.5384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2018,13.617058399727497,32600,24.3,1248,88.5,200.0,1750.0,4072324,21.5055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2018,12.873902018105829,10300,23.95,998,67.05,90.0,3500.0,4072324,16.058474999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2014,14.22097566607244,77000,12.55,2982,168.5,343.0,3400.0,4056196,21.14675,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2013,13.458835614025542,99000,12.99,2494,100.0,200.0,3400.0,4052169,12.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2014,14.187074114396758,27800,14.8,2143,120.7,200.0,4000.0,4056196,17.8636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2015,12.959844447906553,49800,24.7,1498,98.63,200.0,1750.0,4060225,24.36161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,13.901688254205327,151000,13.5,2477,175.56,400.0,2500.0,4052169,23.7006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2015,13.304684934198283,54700,26.0,1498,98.6,200.0,1750.0,4060225,25.636,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,13.17115354157376,63000,27.3,1498,98.6,200.0,1750.0,4060225,26.9178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,14.316285845876763,127700,11.36,2755,171.5,360.0,3400.0,4064256,19.4824,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2016,13.764217263576723,99000,12.99,2494,100.6,200.0,3600.0,4064256,13.067939999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2013,14.375126345899696,33900,17.68,1968,174.33,380.0,2500.0,4052169,30.821544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2013,14.340238495183105,50000,18.53,1968,187.74,400.0,3000.0,4052169,34.788222000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2013,14.169682371684887,59000,14.84,2143,170.0,400.0,2800.0,4052169,25.228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2011,12.487485104968359,120000,21.12,1248,88.8,200.0,3000.0,4044121,18.75456,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2011,12.154779351142624,110000,20.36,1197,78.9,111.7,4000.0,4044121,16.06404,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
2013,12.959844447906553,60000,21.27,1396,88.76,219.6,2750.0,4052169,18.879252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,13.353475098367715,147000,26.59,1248,74.0,190.0,2000.0,4060225,19.6766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2017,13.304684934198283,25000,18.16,1196,86.8,112.0,4000.0,4068289,15.762880000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
2019,13.38472764187182,30000,21.4,1197,83.1,115.0,4000.0,4076361,17.783399999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,13.199324418540456,40000,22.0,1498,108.495,250.0,3000.0,4064256,23.8689,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,13.353475098367715,135000,25.1,1498,98.6,200.0,1750.0,4060225,24.7486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2018,13.012548511397123,30000,20.51,998,67.0,90.0,3500.0,4072324,13.741700000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
2017,13.122363377404328,80000,21.66,1498,108.62,250.0,3000.0,4068289,23.527092,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2019,13.840203170554645,9850,24.3,1248,88.5,200.0,1750.0,4076361,21.5055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
2016,13.353475098367715,70000,25.2,1248,74.0,190.0,2000.0,4064256,18.648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,14.346138809026444,78000,12.55,2982,168.5,343.0,3400.0,4060225,21.14675,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2013,13.017002861746503,120000,22.9,1248,74.0,190.0,2000.0,4052169,16.945999999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2012,13.017002861746503,120000,16.02,1373,93.7,130.0,4000.0,4048144,15.01074,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2003,10.819778284410283,70000,19.369999999999997,1248,81.86,160.0,3000.0,4012009,15.856281999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,13.017002861746503,170000,20.54,1598,103.6,250.0,2500.0,4052169,21.279439999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,13.997832114758229,140000,12.99,2494,100.6,200.0,3600.0,4064256,13.067939999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
2015,13.321214236149494,90000,22.77,1498,98.59,205.0,3250.0,4060225,22.448943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,14.73180128983843,30000,15.71,1998,189.0,280.0,4600.0,4064256,29.6919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
2017,13.091902108061824,10000,23.1,998,67.04,90.0,3500.0,4068289,15.486240000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,12.524526376648708,49000,19.02,1198,67.05,104.0,4000.0,4064256,12.752909999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,12.66032791780777,32000,24.7,796,47.3,69.0,3500.0,4064256,11.6831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,12.524526376648708,38000,24.7,796,47.3,69.0,3500.0,4064256,11.6831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,13.071070083016778,78000,19.369999999999997,1248,81.86,160.0,3000.0,4060225,15.856281999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2012,12.577636201962656,28000,19.81,1086,68.05,99.04,4500.0,4048144,13.480704999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2017,12.542544882151386,32000,14.0,796,35.0,6.1,3000.0,4068289,4.8999999999999995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2010,12.323855681186558,44000,26.2,998,58.2,77.0,3500.0,4040100,15.2484,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,13.028052697933088,42000,16.47,1198,74.0,110.0,3750.0,4060225,12.1878,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,12.768541502448002,45000,19.81,1086,68.05,99.04,4500.0,4060225,13.480704999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2012,13.190022025878143,12000,15.04,1598,103.6,153.0,3800.0,4048144,15.581439999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2009,12.072541252905651,55500,18.2,998,67.1,90.0,3500.0,4036081,12.2122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,13.17115354157376,61500,18.5,1197,82.85,113.7,4000.0,4052169,15.32725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,13.304684934198283,150000,26.59,1248,74.0,190.0,2000.0,4064256,19.6766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,13.244581010128577,72000,19.1,1197,82.0,114.0,4000.0,4064256,15.662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2008,11.695247021764184,68000,19.7,796,46.3,62.0,3000.0,4032064,9.121099999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2017,13.493926933836812,110000,22.54,1396,88.73,219.7,2750.0,4068289,19.999742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2009,12.128111104060462,77000,21.79,998,67.05,90.0,3500.0,4036081,14.610194999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2010,12.206072645530174,100000,18.8,1248,90.0,200.0,3000.0,4040100,16.92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2019,13.329377546788654,10000,21.21,1197,81.8,113.0,4200.0,4076361,17.34978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2018,13.321214236149494,35000,21.4,1197,83.1,115.0,4000.0,4072324,17.783399999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2014,13.345506928718539,70000,11.79,2179,120.0,290.0,2800.0,4056196,14.148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2020,12.89921982609012,5000,19.0,1194,94.68,120.0,4250.0,4080400,17.9892,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2017,13.671640187544572,37800,17.0,1591,121.3,151.0,4850.0,4068289,20.621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2010,13.458835614025542,114000,14.3,1798,160.0,250.0,4500.0,4040100,22.880000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2019,14.346138809026444,32000,15.1,2179,155.0,360.0,2800.0,4076361,23.405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
2016,12.834681304952548,100000,19.09,1405,69.01,135.0,2500.0,4064256,13.174009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,13.165422866864775,150000,22.32,1582,126.32,259.8,2750.0,4052169,28.194624,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2013,13.02143524642254,69000,21.9,1396,88.76,219.6,2750.0,4052169,19.43844,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2009,12.611537753638338,100000,14.53,1798,138.1,173.0,4000.0,4036081,20.065929999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2020,13.071070083016778,13000,21.63,998,67.04,90.0,3500.0,4080400,14.500752000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2016,13.567049198665774,60000,24.3,1248,88.5,200.0,1750.0,4064256,21.5055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2017,13.296316684527767,40000,20.85,1197,83.14,115.0,4000.0,4068289,17.334690000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2010,12.611537753638338,120000,19.369999999999997,1248,81.86,160.0,3000.0,4040100,15.856281999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2014,12.89921982609012,70000,20.45,1461,83.8,200.0,1900.0,4056196,17.137099999999997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
2016,13.946538820370678,50000,19.67,1582,126.2,259.9,2750.0,4064256,24.82354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2012,12.821258284620408,175000,19.3,1248,73.9,190.0,2000.0,4048144,14.262700000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2018,12.765688433465597,25000,23.01,999,67.0,91.0,4250.0,4072324,15.416699999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2015,12.793859310432293,40000,23.1,998,67.04,90.0,3500.0,4060225,15.486240000000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2008,11.56171562913966,65000,19.7,796,46.3,62.0,3000.0,4032064,9.121099999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2009,11.813030057420567,80000,17.92,1086,62.1,96.1,3000.0,4036081,11.12832,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2015,13.458835614025542,110000,20.77,1248,88.76,200.0,1750.0,4060225,18.435451999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2019,13.444446876573442,1303,17.8,1198,86.7,109.0,4500.0,4076361,15.432600000000003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2018,15.19553530607057,31800,17.01,1968,188.0,400.0,3000.0,4072324,31.978800000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2019,15.454507272639919,20000,22.37,2487,214.56,202.0,5200.0,4076361,47.997072,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2017,14.978661367769956,45000,19.33,1999,177.0,430.0,2500.0,4068289,34.214099999999995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2019,15.319587954740548,21000,12.83,1999,148.31,382.0,2250.0,4076361,19.028173000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
